GEOID,NAME,pop,asian,chinese,ch_pct,NEAR_DIST,LOCALE,STATEFP,LOC_NAME,taiwan,cmb_asian,cmb_chns,Shape_Length,Shape_Area
42089300323,Census Tract 3003.23; Monroe County; Pennsylvania,1757,0,0,0,4.4,41,42,Fringe Rural,0,14,0,0.116168439861882,0.000223012688075
42015950600,Census Tract 9506; Bradford County; Pennsylvania,4238,9,0,0,11.7,42,42,Distant Rural,0,16,6,0.768714453429193,0.028192424412020
42017100102,Census Tract 1001.02; Bucks County; Pennsylvania,2912,331,0,0,2.1,21,42,Large Suburban,0,349,8,0.189455686515424,0.001072084087571
42017105807,Census Tract 1058.07; Bucks County; Pennsylvania,3962,246,0,0,1.1,21,42,Large Suburban,0,287,21,0.053159706980765,0.000165147129443
42013011400,Census Tract 114; Blair County; Pennsylvania,2356,6,0,0,0.6,31,42,Fringe Town,0,109,0,0.108068029744250,0.000219318111878
42021013000,Census Tract 130; Cambria County; Pennsylvania,2477,3,0,0,0.1,31,42,Fringe Town,0,11,0,0.057634304437356,0.000162557452619
42091208100,Census Tract 2081; Montgomery County; Pennsylvania,3154,80,0,0,0.9,31,42,Fringe Town,0,132,0,0.055412487772084,0.000138836507187
42003981000,Census Tract 9810; Allegheny County; Pennsylvania,0,0,0,0,0.6,11,42,Large City,0,0,0,0.063011693707036,0.000147436555533
42027010600,Census Tract 106; Centre County; Pennsylvania,3929,0,0,0,17.3,41,42,Fringe Rural,0,0,0,0.508037339710822,0.015085847709256
42029311404,Census Tract 3114.04; Chester County; Pennsylvania,3724,18,0,0,4.1,41,42,Fringe Rural,0,113,0,0.221866755332518,0.002373706500458
42073000800,Census Tract 8; Lawrence County; Pennsylvania,4176,0,0,0,0.7,31,42,Fringe Town,0,0,0,0.069340183719868,0.000235756254459
42077000101,Census Tract 1.01; Lehigh County; Pennsylvania,4578,220,0,0,0.2,12,42,Midsize City,0,308,0,0.062608820926174,0.000199821513114
42019910700,Census Tract 9107; Butler County; Pennsylvania,2752,0,0,0,6.8,42,42,Distant Rural,0,38,0,0.329155369756817,0.006644556330252
42079215701,Census Tract 2157.01; Luzerne County; Pennsylvania,2154,0,0,0,8.5,41,42,Fringe Rural,0,37,0,0.309072883139849,0.005848570907205
42079211500,Census Tract 2115; Luzerne County; Pennsylvania,2653,0,0,0,2.4,41,42,Fringe Rural,0,0,0,0.130241489017284,0.000999488619864
42011010905,Census Tract 109.05; Berks County; Pennsylvania,5008,6,0,0,0.7,21,42,Large Suburban,0,35,0,0.092854815062137,0.000298593778684
42011011300,Census Tract 113; Berks County; Pennsylvania,2987,2,0,0,1.0,21,42,Large Suburban,0,18,0,0.065040328075982,0.000159464506206
42085030300,Census Tract 303; Mercer County; Pennsylvania,3246,19,0,0,1.0,31,42,Fringe Town,0,186,0,0.072292101261867,0.000203463221666
42045406801,Census Tract 4068.01; Delaware County; Pennsylvania,3708,108,0,0,0.1,21,42,Large Suburban,0,117,0,0.131322026525394,0.000642774931398
42075002900,Census Tract 29; Lebanon County; Pennsylvania,3104,0,0,0,0.8,23,42,Small Suburban,0,0,0,0.085844495299820,0.000234142872599
42049010108,Census Tract 101.08; Erie County; Pennsylvania,2180,0,0,0,17.7,42,42,Distant Rural,0,0,0,0.055355570702923,0.000195294890066
42061950900,Census Tract 9509; Huntingdon County; Pennsylvania,2349,0,0,0,0.1,42,42,Distant Rural,0,0,0,0.091531662397497,0.000344011123288
42133000700,Census Tract 7; York County; Pennsylvania,2795,12,0,0,0.4,13,42,Small City,0,76,0,0.029419795050931,0.000048736322846
42003501000,Census Tract 5010; Allegheny County; Pennsylvania,1569,0,0,0,0.6,21,42,Large Suburban,0,0,0,0.054877092366856,0.000147611506638
42027011202,Census Tract 112.02; Centre County; Pennsylvania,3771,0,0,0,2.5,41,42,Fringe Rural,0,0,0,0.078528430264155,0.000320103020436
42129800200,Census Tract 8002; Westmoreland County; Pennsylvania,1228,0,0,0,0.9,21,42,Large Suburban,0,0,0,0.030561240314415,0.000036609679594
42045405100,Census Tract 4051; Delaware County; Pennsylvania,2225,0,0,0,0.6,21,42,Large Suburban,0,0,0,0.049933441658156,0.000105675477746
42045402600,Census Tract 4026; Delaware County; Pennsylvania,4275,0,0,0,0.4,21,42,Large Suburban,0,0,0,0.048784501431208,0.000105341747749
42007602300,Census Tract 6023; Beaver County; Pennsylvania,2336,0,0,0,0.1,21,42,Large Suburban,0,0,0,0.052166887215326,0.000151765312124
42049000700,Census Tract 7; Erie County; Pennsylvania,2326,0,0,0,0.7,13,42,Small City,0,23,0,0.036142595628448,0.000079041513113
42125775300,Census Tract 7753; Washington County; Pennsylvania,2456,0,0,0,0.8,31,42,Fringe Town,0,0,0,0.091114883000951,0.000233359837694
42125712700,Census Tract 7127; Washington County; Pennsylvania,1376,0,0,0,0.8,41,42,Fringe Rural,0,0,0,0.057543396807397,0.000170812217071
42073011800,Census Tract 118; Lawrence County; Pennsylvania,2693,0,0,0,0.3,31,42,Fringe Town,0,0,0,0.065149276569478,0.000162457047395
42077000800,Census Tract 8; Lehigh County; Pennsylvania,4336,0,0,0,0.4,12,42,Midsize City,0,0,0,0.024971031488026,0.000032581886253
42079216700,Census Tract 2167; Luzerne County; Pennsylvania,3830,0,0,0,0.4,31,42,Fringe Town,0,0,0,0.064030696682706,0.000187244024967
42085030500,Census Tract 305; Mercer County; Pennsylvania,2344,7,0,0,1.2,31,42,Fringe Town,0,7,0,0.061407846209147,0.000133196776135
42091202000,Census Tract 2020; Montgomery County; Pennsylvania,2609,0,0,0,0.7,21,42,Large Suburban,0,64,5,0.052606280612306,0.000093114006312
42011001500,Census Tract 15; Berks County; Pennsylvania,4017,0,0,0,0.6,13,42,Small City,0,101,0,0.023485695764092,0.000027349720326
42017100804,Census Tract 1008.04; Bucks County; Pennsylvania,3763,6,0,0,1.4,21,42,Large Suburban,0,96,0,0.072203034158341,0.000270486140808
42021000600,Census Tract 6; Cambria County; Pennsylvania,1593,0,0,0,1.0,13,42,Small City,0,0,0,0.046252081533182,0.000096488232222
42121200500,Census Tract 2005; Venango County; Pennsylvania,2240,14,0,0,1.2,33,42,Remote Town,0,24,0,0.092383622581522,0.000333720308963
42101016800,Census Tract 168; Philadelphia County; Pennsylvania,3168,8,0,0,0.2,11,42,Large City,0,8,0,0.034445711784106,0.000061528373479
42049001200,Census Tract 12; Erie County; Pennsylvania,2751,32,0,0,1.3,13,42,Small City,0,38,0,0.068479622789425,0.000177660940249
42029301001,Census Tract 3010.01; Chester County; Pennsylvania,4792,233,0,0,2.7,21,42,Large Suburban,9,406,0,0.175225249417616,0.001396465942859
42045402500,Census Tract 4025; Delaware County; Pennsylvania,3214,0,0,0,0.4,21,42,Large Suburban,0,0,0,0.039949804459564,0.000070584085422
42003486900,Census Tract 4869; Allegheny County; Pennsylvania,1444,0,0,0,1.9,21,42,Large Suburban,0,0,0,0.048535001599871,0.000099664724659
42043020800,Census Tract 208; Dauphin County; Pennsylvania,2917,0,0,0,0.7,13,42,Small City,0,8,8,0.059863426041086,0.000159153843750
42011010702,Census Tract 107.02; Berks County; Pennsylvania,4660,35,0,0,1.6,21,42,Large Suburban,0,124,0,0.171924016303536,0.001026995607484
42133000100,Census Tract 1; York County; Pennsylvania,1281,6,0,0,0.3,13,42,Small City,0,16,0,0.032254951337814,0.000054408861880
42071013504,Census Tract 135.04; Lancaster County; Pennsylvania,6276,72,0,0,2.0,21,42,Large Suburban,0,87,0,0.206689607913727,0.000735436115654
