category,count
Vegetable and Tofu Dishes,40
Chefs Recommendations,40
"Thai Cuisine
",40
Add ons,40
American Chinese Cuisine 美式中餐,40
American Chinese Cuisine (美式中餐),40
Our Chef's Specialties,40
Rice and Congee and Noodles 粥粉麵飯類,40
BEEF,40
Maki and Rolls 壽司卷及手卷,40
Small Meals,40
Potstickers and Dumplings,40
Combination Platters 拼盤,40
Noodles + Fried Rice,40
Side Dish,40
Shrimp Dishes,39
Shrimp 虾,39
Dinner Entrees,39
Chef's Specialty,39
Seafood Selections,39
Deluxe Combo (All Days),39
Chefs Cantonese Szeuchuan and Hunan Specialties,39
Teriyaki Combinations,39
Dinner Combination Plate,39
Other,39
Lo Mein Noodle,39
Szechuan Chef Specialties,39
House,39
Entrées ,39
Chinese Classics 中式經典,39
Combo Dishes,39
Chow Foon,39
Specialty Variety Combo Dinners,39
Lunch Combination ,39
Dinner Combination ,39
Fried Chicken,39
Pan-Fried Noodle,39
Korean Style Dishes,39
Combo Meals,38
Combinarion Plates,38
Chinese Specials,38
Veggie,38
Shanghainese Tapas,38
Main Course ,38
Szechuan Specialties 四川特色菜,38
Our Chef's Special,38
BBQ,38
Popular,38
"Lo Mein, Fried Rice, and Noodles",38
Chow Yuk,37
Featured,37
Chicken 雞,37
Gluten Free ,37
Child's Plate,37
Lunch,37
Original Vegan Vegetarian Food,37
Chinese dishes,37
Milks,37
Healthy Choice,37
All Day Combination,37
Egg Fu Young,37
Lunch Pork,37
Clay Pot,37
Appetizer 开胃菜,37
Appetizer 头台,37
Health Food,37
Dinner Combo 晚餐套餐,37
Sweets,37
Chef'''s Specialties,37
Stir-Fried Noodles,37
Specialities,37
Small Dishes,37
Entree (Seafood),36
"Side Orders (Rice, Sauce, Cookies, and Etc)",36
All Day Special Combination Platter,36
Stir Fried Noodles,36
Wontons,36
Special Combo Plates,36
Vermicelli Noodle (Bun),36
"Congee, Noodle, and Rice",36
Fried Rice and Lo Mein (炒饭及捞面),36
Beef Dish,36
Early Bird Specials,36
All Day Menu - Dinner Combo,36
Rice Bowls,36
Sushi Bar Entree,36
Kids Meals,36
Chef's Recommendation 特別介紹,36
Old Fashion,36
Temaki Sushi,36
Veggies,36
Japanese Sushi and Sashimi,36
Stone Pot Dishes,36
Chicken 鸡,36
Fried,35
Meats,35
Non Vegetarian Soups,35
Chow Mein &amp; Chop Suey,35
Authentic Sichuan Entrees 正宗川菜 .(L),35
Scallops,35
Extra Sauces,35
Vegetarian Soups,35
Jasmine Rice Plates,35
Egg Foo Young 蓉蛋,35
Chow Mein/Chop Suey,35
Diet Dish,35
Appetizers from Kitchen,35
Lunch Combo Specials,35
Dinner Beef,35
Red Meat,35
Authentic Chinese Entrees,35
Korean Food,35
Chow Mein 炒麵,35
Side 其他,35
Regular Roll,35
DRINKS,35
"Foon, Noodles and Fried Rice",35
Lunch Combination,34
Hibachi Dinner,34
Japanese Hand Roll,34
Children's Menu,34
Sushi A La Carte,34
Lunch Combos,34
Solo/ comb,34
Entrées - Beef,34
Hot Drinks,34
Seafood Dish,34
Combination Suggestion,34
Great Wok Combo Platters,34
Seafood (come w white rice No Substitution),34
CHICKEN,34
Chinese Wok Specials,34
Chinese Pork,34
Special Maki Roll,34
Greens,34
Sizzling Platter,34
Add On's,34
Revolution Diet,34
Noodles ,34
Japanese Sushi Roll,34
Vegetarian Appetizers,34
Entrées - Seafood,34
Appetizers 小食,34
👉Original Gluten Free 🥢,34
Grandmother Home Style Cooking 外婆的味道,33
Lunch and Dinner Combination,33
Breads,33
House Special - Meat &amp; Vege Entrees,33
Thai Entrees,33
Poultry and Pork,33
Health Diet Selections,33
Asian Authenticities,33
Tapioca Pearl,33
Chef Specialty,33
Fresh Fruit Series,33
Fried Rice (炒饭),33
Special Platter,33
Indian Bowls,33
Mein Fun,33
Chow Mein (Crispy Noodles),33
Classic Asian,33
Popular Pairs,33
Fried Rice and Sauteed Noodles,33
POULTRY,33
Hunan Kitchen Special,33
Cantonese Specialties,33
Gluten Free Menu,33
Beef and Shrimp (Chinese),33
Soup Noodles,33
Skewer Item,33
Noodle or Rice Bowls 麵及蓋飯,32
Build a Bowl,32
Chef‘s Special 洞庭经典,32
Beef 牛,32
Homemade Style Dishes,32
Combination Dinner,32
Traditional Shanghai Dishes,32
Lo Mein ,32
A La Carte Sushi and Sashimi,32
Szechuan Specialities,32
Extra Sauce,32
Full Kee House Special 本樓特菜,32
Fried Rice | Noodles | Congee,32
Seafood (Traditional),32
Vietnamese Cuisine,32
Beef 牛肉类,32
Seafood (海鲜),32
Refreshments,32
American Chinese Cuisine,32
Uramaki Roll (Regular Size),32
Flaming Wok Chef Specials,32
Noodle and Fried Rice,32
Specialty Maki 特色卷,32
Dry Pot,32
COMBO PLATTER,32
Vegetables and Plant Based Meat,32
Dinner / House Specialties,32
Seafood (Dinner),32
Chef's Specialties 主厨推荐,32
All Time Favorites,32
Special Combination Plates 特选拼盘,32
Hot Soup,31
Steamed Rice Plates,31
Flavored Tea (Cold),31
Chicken Dish,31
Mei Fun (Rice Noodle),31
BEVERAGES,31
Combination 套餐,31
Baos,31
Steamed Dumplings,31
APPETIZER,31
"炒河粉，麵，炒飯類 Chow​​ Fun,​​ ​​Chow Mein,​​ Fried​​ ​​ Rice",31
Healthy Diet,31
Popular Items,31
Family Meals,31
Seafood Dishes (Shrimp),31
Special Combination Dinner,31
House Rolls,31
Appetizers &amp; Side Orders,31
Chinese Special Combination Platters,31
Whole Day Combination Platter,31
Special Dinner Combination Platters,31
Lunch Specially,31
Lunch Seafood,31
"Noodles, Rice &amp; Lo Mein",31
New Entrees,31
Special Signature (Cold),31
Starter,30
Fish and Seafood,30
House Special Delicious Food,30
Regular Rolls,30
Appetizers and Snacks,30
Duck and Chicken,30
Fish Entrees,30
Special All Day Combination Platter,30
Side order,30
Menu,30
Traditional Chinese Dish,30
Mei Wei Favorites,30
Feature Items,30
Traditional Sushi Roll,30
Vegan Vegetarian 🌱 ,30
Cold Appetizer 涼菜,30
Favorites,30
Chop Suey and Chow Mein,30
Fried Rice(Rice),30
Rice and Lo Mein,30
Chow Mein and Lo Mein,30
Hunan Sichuan Style,30
Hot Sub,30
Appetizers (Chinese),30
Oriental Garden's Special,30
Chef's Specials - Ma La Specials,30
Cantonese Style Chow Mein,30
Recommendations,30
Chef's Special ,30
Complete,30
Gourmet Breads,30
House Special Roll,30
Rice and Hand Pulled Noodles,30
Shuruvat (Appetizers),30
Lunch - Szechuan Hunan Dishes,29
Beef Entrée,29
Bean Curd,29
Mike’s Noodle House 全记面家 面类,29
Family Size,29
Chefs Suggestions,29
Entrees - A La Carte,29
House's Specialties,29
Traditional Chinese Dishes 传统中国菜,29
"Noodles, Vermicelli, Rice",29
Thai Dish,29
Fried Rice and Chow Mein,29
Joe's Specials,29
Chef's Specials 熱炒,29
Lunch Vegetables,29
Tea Drinks,29
Beef and Lamb 牛肉及羊肉,29
Fresh Fruit Tea,29
Pan-Seared Potstickers,29
Sharables,29
Signature Bowls,29
Rice Dishes Section 碟頭飯類,29
Yat,29
Congee 粥类,29
CHEF'S SPECIAL,29
House Dinner,29
Special Combination Plates 特色拼盤,29
"Egg Fu Yung, Noodles, Chow Mein &amp; Rice",28
 Special Combo Dishes with spring roll and chicken fried rice,28
Gourment Dishes,28
Chicken - Lunch,28
VEGETABLES &amp; TOFU,28
Plates with Rice and Hand Pulled Noodles,28
All Day Combo Platter,28
Cold Dish,28
Beef (牛肉),28
Fried Rice &amp; Noods,28
Staple Food,28
Lo Mein (Noodle),28
Appetizer and Soup,28
Additional Specialties,28
Combination Meal,28
Fresh Juice Mix,28
Sizzling Plate,28
Seafood Dinner,28
Rice and Noodle (Dinner),28
Bubble tea,28
Thai Soups,28
Chicken Dinners,28
Sushi Menu  ***Buffet(all you can eat) dine in open now!!!***,28
Chicken Dinner Specials,28
Sichuan Cuisine 四川菜,28
Traditional Dishes,28
"House Roll
",28
Special Diet Food,28
Iced Flavores Milk Tea 特制冷饮,28
Juice Drinks,28
Vegetables and Vegi Meat,28
Milk Tea (Hot),28
Signature Entrées &amp; Traditional Favorites,28
Seafood House Specialties,28
Rice (飯 類 ),28
Chinese Seafood,28
Luncheon Menu,28
Daily Combination Special,28
Submarine,28
Fried Rice and Lo Mein 炒飯及撈麵,28
Appetizer 頭臺,28
Simon's Specialties,28
Drinks and Desserts,28
Poultry Entrees,28
Lo Mein or Mei Fun,28
Chinese Lunch Menu,28
Fried Noodles (炒粉、面),28
"Chow Mein (Crispy Noodle), Lo Mein, Flat Noodle",28
New dish for CHINATOWN 火爆新菜,27
Soup 汤羹,27
Noodles Dishes,27
Grill,27
Lo Mein and Noodles,27
ENTREES,27
Bao  ,27
Special Family Dinner,27
Steamed Dumplings  ,27
Pan-Seared Potstickers  ,27
Chicken White Meat,27
Chef Recommendations,27
Extras ,27
Japanese Sushi,27
Modern Sushi Rolls,27
Fried Vegetable/Fried Lo-Mein/Stir Fried,27
Chef's Special 主厨推荐,27
Milk Tea (Cold),27
Foodie Chef’s Specialties 厨师推荐,27
House Special (滋味家常菜),27
Noodles 面类,27
Sushi and Sashimi by Piece,27
Home Cooking Country Style,27
Individual Dinner Combination,27
Fruit Tea,27
Steamed Healthy Diet Food Special,27
Rice and Spaghetti,27
Hot Beverages,27
Szechuan and Hunan Dishes,27
Tiffins,27
Skewers 串类,27
Sushi Entree,27
Entrees over Rice,27
Seafood (Lunch),27
T.Jin Chef' Specialties,27
Pickup &amp; Delivery Menu,27
Vegetarian &amp; Tofu,27
Nutrition and Healthy Food,26
Taste of China (Authentic Chinese Ordinary Dish),26
Beef and Lamb 牛、羊,26
Chef's Special 主廚精選,26
Lunch - Combo Platters,26
Signature Entrees &amp; Traditional Favorites,26
Lunch Poultry,26
Chicken and Pork (Chinese),26
"Szechuan, Hunan",26
Combination Platter (Chinese),26
Thai Curry,26
Gourmet Cuisine Chef's Specialties,26
Combo Menu,26
Full Dinner Combo,26
Chicken (Chinese),26
Rolled Sushi,26
Beef (Dinner),26
Appetizers and Soup,26
Kuen Style Ramen and Shaved Noodles 兰州拉面及刀削面,26
Speciality Rolls,26
Beef or Pork 牛肉或豬肉,26
Chinese Menu,26
"Fried Rice, Lo Mein, Fired Noodles and Noodles Soup",26
Vegan Beef,26
Chinese Cuisine,26
Dinner Poultry,26
Desserts ,26
Japanese Dishes,26
Chow Mein ,26
Chicken Combo,26
Traditional Chinese Menu,26
Biryani,26
"Supreme entrees, fried rice, noodles dishes and ect.",26
House Special Sushi Roll,26
"Chef's Specialties
",26
Ala Carte,26
Wonton Noodle Dumpling Soup,26
Vegetarian and Tofu,26
Noodle Bowl,26
House Special 廚師推介,26
Signature Plates,26
Tacos,26
Slush Series,26
Sandwich,26
Chicken Entree',26
"Noodle Soup, Rice Noodle, and Foon",26
Chef’s Special Rolls,26
"NOODLES, FRIED RICE &amp; CHOWMEIN (House is combination of beef, chicken &amp; shrimp) NO SUBSTITUTIONS PLEASE!",26
Steamed Dishes,26
Vegetarian 素菜,26
Diner Special (All Day),26
Dim Sum (Large),26
Shrimp - Lunch,25
Iced Tea,25
Shrimp Tempura Rolls,25
Chow Mein 炒面,25
Lunch Menu / Lunch Specials,25
HK Style Noodle Soups,25
Chinese All Day of Your Choice,25
Traditional Entree,25
Luncheon,25
Japanese Rolls,25
Vegetables 蔬菜類,25
Thai City,25
